X,Y,clu
2.95,0.8,2
3.34,0.91,2
3.07,0.53,2
3.03,1.01,2
2.69,1.01,2
2.84,1.36,2
3.02,0.95,2
2.74,1.0,2
3.01,0.96,2
3.04,0.88,2
3.02,0.96,2
3.44,1.0,2
3.02,1.05,2
3.39,1.1,2
3.04,0.73,2
2.94,1.07,2
2.85,1.38,2
2.81,0.89,2
3.33,1.36,2
2.83,0.94,2
3.39,0.74,2
3.03,0.96,2
3.12,1.21,2
3.16,0.96,2
3.03,1.44,2
3.04,1.48,2
2.8,0.68,2
2.92,0.94,2
2.75,1.27,2
3.02,1.5,2
2.77,0.71,2
3.19,0.58,2
3.02,0.73,2
2.76,1.3,2
2.83,1.02,2
2.7,0.85,2
3.02,0.96,2
3.23,1.0,2
2.95,0.82,2
3.01,1.0,2
3.27,0.91,2
3.42,0.86,2
2.98,1.04,2
3.01,1.07,2
2.95,1.03,2
3.35,0.72,2
2.91,0.84,2
2.64,1.06,2
3.35,1.32,2
2.78,1.09,2
2.55,0.81,2
3.01,1.35,2
2.73,0.64,2
2.64,0.86,2
3.07,0.89,2
3.15,0.81,2
2.8,1.2,2
3.16,0.96,2
3.14,0.61,2
2.55,1.15,2
3.18,0.77,2
2.97,1.17,2
2.77,0.86,2
3.17,0.88,2
3.0,1.0,2
3.02,0.83,2
2.71,1.02,2
2.73,0.82,2
3.14,0.62,2
3.13,1.06,2
2.92,0.89,2
3.02,0.98,2
3.05,1.24,2
3.02,0.9,2
2.93,0.97,2
2.82,0.91,2
2.9,0.54,2
2.97,0.86,2
2.81,1.12,2
2.95,1.24,2
3.11,1.1,2
3.12,0.92,2
2.92,0.98,2
3.01,1.0,2
3.08,1.03,2
2.93,0.89,2
3.05,1.12,2
2.69,0.62,2
2.69,1.18,2
3.0,1.01,2
3.18,1.17,2
2.99,0.79,2
2.81,1.08,2
3.12,1.27,2
2.97,1.02,2
3.2,1.13,2
2.86,1.03,2
3.35,1.22,2
2.84,0.95,2
2.96,0.84,2
2.92,0.62,2
3.03,0.97,2
2.98,0.93,2
3.15,0.8,2
2.88,1.01,2
3.42,1.12,2
2.86,0.99,2
3.17,0.79,2
2.87,1.23,2
3.1,1.05,2
2.81,0.75,2
3.08,1.13,2
2.77,1.3,2
2.73,0.71,2
3.04,0.9,2
2.85,0.86,2
2.93,0.67,2
3.15,0.78,2
2.69,1.07,2
3.04,0.8,2
2.99,1.29,2
3.29,0.94,2
3.05,1.02,2
3.41,0.8,2
3.33,0.89,2
3.1,0.76,2
3.36,0.8,2
2.88,1.11,2
3.29,1.06,2
3.35,1.26,2
2.79,1.11,2
2.99,1.12,2
3.05,0.92,2
3.08,0.98,2
2.9,1.02,2
2.96,1.02,2
2.65,0.94,2
2.91,0.98,2
2.89,1.26,2
3.13,1.25,2
3.01,1.01,2
3.4,0.94,2
2.8,1.33,2
3.24,1.09,2
2.95,0.65,2
2.96,1.15,2
3.34,0.76,2
2.91,0.95,2
2.64,1.05,2
2.87,1.38,2
3.41,1.01,2
3.13,0.59,2
2.88,0.66,2
3.05,1.2,2
2.94,0.52,2
3.07,1.01,2
3.26,0.98,2
3.02,0.86,2
3.17,0.76,2
3.0,1.02,2
2.54,1.05,2
3.0,1.0,2
3.33,1.14,2
2.99,1.11,2
3.14,0.8,2
3.05,1.18,2
2.79,-1.33,3
2.87,-0.7,3
3.02,-1.04,3
3.07,-1.22,3
3.21,-1.1,3
2.76,-1.36,3
3.26,-1.09,3
3.1,-0.94,3
3.08,-1.17,3
3.25,-1.41,3
2.94,-1.03,3
2.92,-0.54,3
2.91,-1.2,3
3.11,-0.85,3
2.92,-0.9,3
3.04,-0.74,3
3.08,-0.9,3
3.0,-1.49,3
3.03,-0.94,3
2.81,-1.38,3
3.13,-1.13,3
2.75,-0.75,3
2.74,-1.38,3
3.23,-1.38,3
2.7,-0.64,3
2.86,-1.45,3
2.65,-0.99,3
2.8,-1.0,3
3.15,-0.7,3
2.6,-0.7,3
2.84,-1.1,3
3.04,-0.88,3
3.39,-0.99,3
3.18,-0.61,3
3.11,-0.57,3
3.0,-0.95,3
2.59,-1.02,3
2.89,-1.21,3
3.28,-1.1,3
3.07,-0.58,3
3.01,-1.0,3
2.95,-0.82,3
2.7,-0.9,3
2.95,-0.59,3
2.94,-0.7,3
3.28,-1.29,3
2.98,-0.92,3
3.27,-1.14,3
3.25,-0.64,3
2.58,-1.07,3
2.64,-1.23,3
3.03,-1.36,3
2.57,-0.98,3
3.16,-0.66,3
3.22,-1.0,3
3.24,-0.66,3
2.98,-0.55,3
3.08,-1.11,3
3.31,-0.93,3
2.95,-0.93,3
3.03,-0.95,3
2.68,-1.06,3
2.65,-1.03,3
2.61,-1.19,3
3.25,-1.09,3
3.02,-1.09,3
3.13,-1.21,3
3.26,-1.28,3
3.0,-0.67,3
3.16,-1.22,3
3.1,-1.27,3
3.07,-0.74,3
3.22,-0.61,3
2.58,-0.98,3
2.89,-1.1,3
2.88,-1.1,3
2.85,-0.61,3
3.08,-1.01,3
3.03,-1.02,3
2.87,-1.02,3
2.99,-1.0,3
3.05,-1.25,3
2.6,-1.08,3
3.21,-0.86,3
2.98,-0.79,3
2.99,-1.0,3
2.57,-0.88,3
3.05,-0.9,3
2.54,-1.04,3
3.16,-1.38,3
3.04,-1.05,3
2.84,-1.35,3
2.53,-0.94,3
3.0,-1.0,3
3.01,-1.03,3
3.03,-0.71,3
2.97,-0.94,3
3.2,-1.03,3
3.08,-1.26,3
2.95,-1.02,3
3.31,-1.33,3
3.1,-0.69,3
2.92,-1.13,3
2.99,-1.11,3
3.21,-0.84,3
2.59,-0.99,3
2.69,-1.09,3
2.98,-0.96,3
2.98,-0.97,3
3.09,-1.06,3
2.68,-0.7,3
2.85,-0.97,3
2.84,-0.98,3
2.95,-1.02,3
2.8,-1.01,3
3.14,-0.76,3
2.52,-0.93,3
2.72,-0.67,3
3.35,-0.79,3
3.22,-1.16,3
3.09,-1.18,3
2.99,-0.99,3
2.98,-1.13,3
3.0,-1.04,3
3.11,-1.1,3
2.85,-0.67,3
3.03,-1.0,3
3.31,-0.73,3
3.42,-0.85,3
3.19,-1.27,3
2.96,-1.19,3
2.94,-0.85,3
3.01,-1.02,3
2.59,-0.99,3
2.94,-1.3,3
3.15,-1.09,3
2.82,-1.33,3
3.05,-1.08,3
2.93,-0.99,3
2.88,-1.01,3
3.02,-1.24,3
3.14,-1.38,3
3.17,-0.55,3
3.11,-1.33,3
3.35,-0.93,3
2.85,-0.77,3
2.82,-0.59,3
3.0,-0.93,3
2.97,-1.05,3
3.15,-0.88,3
2.75,-0.88,3
2.52,-1.03,3
2.78,-0.8,3
3.05,-1.02,3
2.9,-0.7,3
2.69,-0.76,3
2.89,-1.15,3
2.79,-1.15,3
3.03,-1.05,3
2.81,-1.16,3
2.92,-0.96,3
2.95,-1.44,3
2.93,-0.69,3
3.17,-0.63,3
2.94,-0.69,3
3.36,-0.81,3
3.12,-1.1,3
2.98,-0.97,3
3.36,-1.26,3
2.58,-1.06,3
2.81,-1.01,3
3.03,-0.86,3
3.0,-1.49,3
2.74,-1.25,3
3.02,-0.51,3
3.13,-1.18,3
3.19,-1.19,3
2.97,-1.4,3
2.97,-0.59,3
2.82,-0.87,3
3.13,-0.97,3
3.11,-0.63,3
2.69,-0.98,3
2.91,-0.85,3
2.74,-0.81,3
2.98,-0.63,3
3.03,-1.13,3
3.18,-0.86,3
2.78,-1.03,3
3.04,-1.3,3
2.84,-1.04,3
3.21,-1.31,3
3.22,-0.9,3
2.79,-1.18,3
2.76,-1.21,3
3.12,-1.1,3
3.03,-1.08,3
3.2,-1.22,3
3.21,-0.97,3
2.72,-1.13,3
3.26,-0.73,3
3.01,-0.95,3
2.72,-0.72,3
2.96,-1.0,3
2.79,-1.03,3
3.06,-0.99,3
2.83,-1.19,3
2.52,-1.12,3
3.04,-0.89,3
3.26,-0.93,3
3.22,-1.0,3
3.12,-0.54,3
2.76,-0.85,3
2.57,-0.88,3
2.98,-0.7,3
2.99,-1.01,3
2.71,-0.93,3
3.21,-1.34,3
3.0,-1.0,3
2.77,-1.13,3
2.87,-1.26,3
2.93,-0.82,3
2.92,-0.51,3
2.8,-0.78,3
3.37,-0.85,3
2.96,-1.03,3
3.05,-0.96,3
2.65,-1.29,3
3.1,-0.76,3
2.87,-0.83,3
2.98,-0.97,3
2.72,-1.08,3
3.21,-0.9,3
3.12,-0.8,3
3.01,-0.9,3
2.88,-0.98,3
3.06,-1.15,3
2.73,-0.85,3
2.93,-0.89,3
3.01,-0.64,3
3.11,-0.91,3
3.11,-1.19,3
2.54,-1.04,3
3.29,-1.32,3
2.58,-1.0,3
3.09,-0.97,3
3.02,-1.17,3
3.26,-1.18,3
3.14,-1.41,3
2.87,-1.37,3
2.89,-1.27,3
3.0,-1.06,3
3.11,-1.12,3
2.99,-0.9,3
2.71,-0.95,3
3.27,-0.81,3
3.01,-1.04,3
3.06,-1.08,3
2.81,-1.13,3
2.94,-1.29,3
2.82,-0.78,3
2.97,-1.29,3
3.23,-1.31,3
2.98,-1.02,3
3.04,-1.12,3
3.1,-0.88,3
3.0,-0.94,3
2.78,-1.11,3
3.04,-1.01,3
2.6,-1.02,3
2.95,-1.25,3
2.64,-1.26,3
2.83,-0.69,3
2.78,-1.09,3
2.88,-0.97,3
2.83,-1.41,3
2.96,-1.09,3
2.52,-1.09,3
2.79,-0.82,3
2.9,-1.03,3
3.09,-1.06,3
3.32,-1.19,3
2.8,-1.36,3
2.77,-1.38,3
3.18,-0.83,3
2.91,-0.79,3
3.25,-1.22,3
2.98,-1.03,3
2.79,-1.04,3
3.04,-1.22,3
2.83,-1.47,3
3.01,-1.37,3
3.0,-1.0,3
3.35,-0.77,3
3.16,-1.38,3
3.07,-1.03,3
3.45,-0.98,3
2.58,-1.15,3
2.72,-0.65,3
2.9,-0.99,3
3.07,-1.15,3
3.03,-0.86,3
2.75,-1.09,3
2.72,-0.61,3
2.75,-1.33,3
3.16,-0.7,3
2.92,-1.14,3
2.98,-0.76,3
2.96,-0.99,3
3.19,-1.17,3
3.01,-0.98,3
3.38,-1.31,3
3.17,-1.12,3
3.09,-1.11,3
3.2,-0.96,3
3.0,-1.0,3
3.0,-1.0,3
2.72,-0.86,3
3.09,-0.92,3
2.98,-1.05,3
3.47,-1.03,3
3.06,-0.88,3
2.74,-1.11,3
2.93,-0.74,3
3.47,-1.14,3
2.83,-0.8,3
3.03,-1.03,3
2.72,-1.4,3
2.93,-0.96,3
2.97,-1.06,3
3.0,-0.99,3
2.68,-0.67,3
2.76,-1.43,3
